Date,Session default channel group,Sessions,Total users,Ecommerce purchases,Purchase revenue
2025-02-17,Organic Social,7480,7318,4,1051.6799999999998
2025-07-25,Paid Other,7464,5438,0,0.0
2025-10-02,Direct,7458,7128,18,9015.2402
2025-02-08,Organic Shopping,7445,7245,13,5520.719999999999
2025-05-22,Organic Social,7440,7082,39,15678.560000000003
2025-09-04,Paid Other,7438,5120,2,418.45
2025-02-12,Organic Social,7431,7379,7,905.1099999999999
2025-01-31,Organic Social,7421,7182,3,1405.7
2025-10-03,Direct,7409,7005,16,8181.08
2025-05-25,Organic Social,7406,7007,51,26445.589999999997
2025-01-19,Unassigned,7347,6919,37,25992.68
2025-01-01,Unassigned,7320,6522,194,113961.5043749998
2025-01-28,Organic Social,7288,7124,8,4350.56
2025-02-19,Organic Social,7269,7138,5,2256.25
2025-02-01,Organic Shopping,7265,7010,13,8840.11
2025-01-02,Paid Shopping,7246,6884,17,12396.84
2025-02-05,Organic Social,7238,7190,4,2367.13
2025-07-24,Paid Other,7232,5315,1,498.83
2025-02-18,Organic Social,7231,7054,8,3589.46
2025-07-18,Paid Other,7172,5261,0,0.0
2025-09-03,Paid Other,7169,4352,0,0.0
2025-01-29,Organic Social,7156,7057,8,3810.19
2025-01-30,Organic Social,7130,6878,8,4799.73
2025-11-13,Organic Social,7111,6968,6,2753.2999999999997
2025-02-04,Organic Social,7100,7056,3,1630.33
2025-01-05,Paid Shopping,7076,6541,16,14712.3
2025-02-15,Organic Social,7013,6965,2,623.08
2025-02-07,Organic Shopping,6881,6804,9,2630.7000000000007
2025-02-06,Organic Social,6855,6877,5,3310.0899999999997
2025-09-30,Direct,6829,6309,23,13456.555667000002
2025-11-17,Paid Other,6807,5439,2,1443.4
2025-11-19,Unassigned,6804,6635,40,19419.21075
2025-09-03,Direct,6802,6194,50,28090.438275
2025-06-11,Paid Other,6784,5305,4,1745.21
2025-11-16,Unassigned,6766,6516,81,42886.006529000006
2025-06-10,Paid Other,6717,5507,2,538.9200000000001
2025-08-28,Direct,6711,6443,48,27311.850000000006
2025-02-11,Organic Social,6649,6718,7,1587.7900000000002
2025-10-04,Direct,6636,6186,9,4703.95
2025-09-02,Direct,6601,5899,61,32987.207035000014
2025-01-03,Unassigned,6597,5500,100,62849.98700699996
2025-07-10,Paid Other,6590,5239,1,490.98
2025-08-29,Direct,6552,6064,47,26815.579063000005
2025-11-18,Direct,6530,6190,53,22360.365662000004
2025-11-14,Direct,6503,6003,43,20036.403114
2025-11-18,Paid Other,6471,5148,0,0.0
2025-01-15,Organic Social,6443,6495,6,2669.2799999999997
2025-11-16,Organic Social,6398,6487,10,5565.514852
2025-07-26,Paid Other,6390,4747,1,1380.95
2025-02-03,Organic Shopping,6365,6390,16,10609.149999999998
2025-01-04,Paid Shopping,6352,5945,11,6877.52914
2025-01-26,Organic Social,6303,6254,9,4085.75
2025-11-10,Organic Social,6232,6158,0,0.0
2025-02-27,Unassigned,6225,6042,16,11298.949999999999
2025-11-16,Paid Other,6181,5177,5,2147.2
2025-09-04,Direct,6171,5644,16,10486.619942
2025-06-09,Paid Other,6170,4967,4,2250.0600000000004
2025-02-07,Organic Social,6155,6106,2,840.9200000000001
2025-11-13,Direct,6121,5648,29,17224.582347
2025-11-16,Direct,6074,5602,49,29647.998017
2025-07-27,Paid Other,6046,4581,0,0.0
2025-07-20,Paid Other,6002,4437,2,1173.61
2025-11-18,Organic Social,5984,5835,10,5122.375384
2025-10-12,Paid Other,5980,3018,1,719.0
2025-01-16,Unassigned,5956,5737,35,21436.020000000004
2025-01-12,Unassigned,5941,5318,72,38608.9
2025-02-05,Organic Shopping,5916,5846,7,4135.05
2025-03-06,Unassigned,5873,5763,17,11016.689999999997
2025-01-20,Unassigned,5870,5605,31,19340.940000000002
2025-07-23,Paid Other,5862,4511,0,0.0
2025-01-08,Unassigned,5830,4739,57,39698.592677
2025-11-06,Direct,5815,5432,27,14006.395615999998
2025-07-21,Paid Other,5776,4288,1,425.93
2025-09-02,Paid Other,5772,3817,0,0.0
2025-10-10,Paid Other,5756,2928,0,0.0
2025-10-11,Paid Other,5746,2850,0,0.0
2025-11-11,Direct,5692,5176,26,14366.491923
2025-01-25,Organic Social,5623,5564,10,6580.900000000001
2025-01-01,Direct,5619,4534,75,45538.067816999996
2025-07-22,Paid Other,5589,4171,1,401.12
2025-01-04,Unassigned,5587,4743,59,38628.29999999999
2025-11-12,Direct,5577,5167,26,17212.131317
2025-11-15,Direct,5554,5246,55,33916.55000000001
2025-01-06,Unassigned,5524,4575,84,48718.53315100001
2025-01-15,Unassigned,5513,4851,38,23163.350045
2025-02-26,Unassigned,5511,5239,15,9060.61
2025-01-24,Organic Social,5505,5394,12,4775.120000000001
2025-03-03,Unassigned,5491,5267,24,19717.350000000002
2025-08-30,Direct,5480,4991,47,25521.15
2025-10-13,Paid Other,5473,2825,0,0.0
2025-01-03,Paid Shopping,5469,5044,10,6254.709999999999
2025-01-21,Organic Social,5452,5415,1,477.06
2025-08-31,Paid Other,5439,3130,1,449.0
2025-09-27,Direct,5418,5127,10,4685.8
2025-11-10,Direct,5411,5027,20,8180.694986000002
2025-02-06,Organic Shopping,5397,5375,5,2402.0099999999998
2025-03-02,Unassigned,5397,5231,15,10415.11
2025-09-19,Direct,5392,5188,17,9347.150000000001
2025-01-05,Unassigned,5388,4632,70,38653.75313999999
2025-11-17,Direct,5327,5070,67,33695.64257400001
2025-02-08,Organic Social,5323,5196,6,4821.52
2025-01-23,Organic Social,5311,5175,10,7971.590000000001
2025-11-19,Organic Social,5307,5200,6,1715.75
2025-01-10,Organic Social,5305,5123,8,6013.35
2025-03-16,Unassigned,5288,5143,26,15244.23
2025-10-15,Paid Other,5283,2543,0,0.0
2025-10-14,Paid Other,5277,2511,0,0.0
2025-01-17,Unassigned,5229,4911,25,13986.070000000002
2025-09-26,Direct,5208,4877,14,8498.328045
2025-11-12,Organic Social,5205,5249,3,1332.3
2025-09-29,Direct,5199,4834,14,5335.906328
2025-01-02,Direct,5181,4140,61,34958.81539
2025-01-22,Organic Social,5179,5069,5,3062.0099999999998
2025-10-23,Paid Other,5156,2615,0,0.0
2025-11-09,Direct,5155,4790,21,11650.967970999998
2025-01-07,Unassigned,5149,4278,59,31687.350000000006
2025-11-17,Organic Social,5129,5073,11,4972.55
2025-10-09,Paid Other,5128,2966,0,0.0
2025-08-31,Direct,5118,4825,62,34706.18651800001
2025-01-12,Organic Social,5117,4935,6,3099.0
2025-11-18,Unassigned,5107,4846,56,36666.922265
2025-07-02,Unassigned,5079,4419,24,13001.349999999999
2025-03-15,Unassigned,5064,4603,18,12173.54
2025-10-10,Direct,5054,4507,19,9610.67671
2025-09-28,Direct,5048,4702,9,4857.669999999999
2025-03-29,Organic Social,5003,4942,3,1704.88
2025-07-03,Paid Other,4995,3638,0,0.0
2025-01-13,Unassigned,4978,4481,55,36327.13645499999
2025-01-05,Paid Search,4976,4043,28,14136.708750000003
2025-01-03,Paid Search,4970,4042,33,20637.1
2025-01-01,Paid Search,4935,4158,80,50818.936759000004
2025-01-10,Unassigned,4917,4191,62,36260.446016999995
2025-07-02,Paid Other,4914,3540,3,1499.27
2025-01-31,Organic Shopping,4912,4799,9,4943.02
2025-10-08,Direct,4909,4443,25,12724.749999999998
2025-03-04,Unassigned,4904,4789,23,12866.350000000002
2025-09-24,Direct,4902,4663,14,7058.4
2025-10-16,Paid Other,4902,2625,0,0.0
2025-11-19,Direct,4902,4591,43,24679.847139
2025-11-05,Direct,4874,4502,26,15431.250000000002
2025-02-08,Affiliates,4873,4814,13,5714.610000000001
2025-09-14,Direct,4864,4629,12,6413.660483
2025-10-20,Paid Other,4859,2784,1,449.0
2025-03-05,Unassigned,4817,4656,19,8828.369999999999
2025-01-03,Direct,4812,3917,32,21875.552711000008
2025-01-04,Paid Search,4800,4006,23,17414.639156999998
2025-01-02,Paid Search,4795,3891,39,20266.915390000006
2025-01-04,Direct,4773,3785,34,20388.676266
2025-10-22,Paid Other,4770,2227,0,0.0
2025-10-15,Direct,4769,4429,24,10410.33
2025-10-09,Direct,4755,4294,11,6218.8994
2025-10-05,Cross-network,4695,4542,4,1239.65
2025-06-26,Paid Other,4694,3459,2,558.06
2025-11-15,Paid Other,4694,3703,7,8068.25
2025-11-16,Organic Search,4691,4184,52,30305.90244500001
2025-10-06,Paid Other,4631,2628,0,0.0
2025-09-05,Direct,4615,4185,19,11758.468069999999
2025-07-04,Paid Other,4609,3179,0,0.0
2025-06-21,Paid Other,4608,3415,0,0.0
2025-11-19,Paid Other,4604,3771,0,0.0
2025-10-08,Paid Other,4603,2967,0,0.0
2025-03-17,Unassigned,4596,4373,24,15569.540000000003
2025-10-19,Paid Other,4571,2533,0,0.0
2025-11-12,Paid Other,4568,1967,0,0.0
2025-02-21,Organic Social,4559,4577,4,2008.51
2025-07-09,Paid Other,4551,3542,3,1278.88
2025-01-05,Direct,4549,3677,27,14881.295453
2025-09-20,Direct,4533,4220,9,7060.15
2025-08-30,Paid Other,4531,2827,2,718.4
2025-11-08,Direct,4519,4229,19,8746.858397999998
2025-10-07,Direct,4518,4078,28,17715.300000000003
2025-10-24,Paid Other,4509,2268,0,0.0
2025-11-07,Direct,4496,4129,22,22257.4
2025-06-25,Paid Other,4494,3190,2,974.0799999999999
2025-11-17,Cross-network,4489,4360,34,22932.95
2025-02-09,Affiliates,4488,4316,15,7579.56
2025-08-28,Paid Other,4482,4073,4,1374.95
2025-11-14,Unassigned,4477,4180,90,52490.524086
2025-01-11,Unassigned,4471,3841,51,29944.364227000002
2025-01-19,Paid Search,4446,3742,34,22610.5
2025-06-20,Paid Other,4446,3301,1,480.43
2025-10-26,Paid Other,4436,2072,0,0.0
2025-09-29,Paid Other,4432,2310,0,0.0
2025-02-12,Unassigned,4425,4172,31,22586.790000000005
2025-01-13,Organic Social,4407,4307,8,4979.0
2025-10-13,Direct,4401,3984,20,8201.18
2025-10-27,Paid Other,4388,1887,0,0.0
2025-10-12,Direct,4386,3979,14,10780.7
2025-01-07,Direct,4380,3304,28,18120.9
2025-10-14,Direct,4355,3997,26,18773.029284
2025-11-13,Paid Other,4351,1821,1,1099.2
2025-06-08,Paid Other,4339,3556,4,1443.83
2025-09-18,Direct,4329,3999,12,7615.3622080000005
2025-10-06,Direct,4322,3911,12,6172.666244
2025-02-12,Affiliates,4310,4223,8,5248.2699999999995
2025-09-30,Paid Other,4301,2395,0,0.0
2025-10-11,Direct,4301,3852,20,11517.786174
2025-01-14,Unassigned,4282,3659,63,38345.054964
2025-03-28,Organic Social,4280,4185,7,1841.23
2025-01-09,Unassigned,4275,3651,63,40212.04535
2025-11-17,Organic Search,4268,3774,38,20267.681750000007
2025-01-06,Direct,4257,3368,25,13985.51
2025-10-17,Paid Other,4252,2412,1,72.55
2025-06-24,Paid Other,4250,3044,0,0.0
2025-09-25,Direct,4247,3948,13,3766.3147299999996
2025-10-01,Cross-network,4247,4303,3,1187.0
2025-08-29,Paid Other,4236,3193,1,678.4
2025-06-27,Paid Other,4235,3088,1,428.35
2025-08-26,Direct,4224,4060,41,21812.35
2025-01-03,Affiliates,4217,4111,2,1152.15
2025-01-01,Paid Social,4215,4104,1,279.2
2025-11-18,Organic Search,4209,3812,62,26406.47653700001
2025-10-18,Paid Other,4208,2163,0,0.0
2025-08-27,Cross-network,4206,4075,8,4278.55
2025-01-14,Organic Social,4200,4056,4,1846.4099999999999
2025-08-27,Direct,4188,4029,31,16582.742708
2025-01-18,Paid Search,4185,3516,36,23990.940000000006
2025-10-21,Paid Other,4184,2132,1,86.95
2025-01-30,Organic Shopping,4177,4090,11,6333.449999999999
2025-01-06,Paid Search,4166,3413,27,16910.95
2025-08-18,Unassigned,4166,3622,116,103361.63999999998
2025-10-25,Paid Other,4152,2062,0,0.0
2025-08-07,Paid Other,4134,2944,1,443.08
2025-11-04,Direct,4118,3807,16,10715.2
2025-02-18,Unassigned,4114,3903,18,12054.18
2025-10-03,Cross-network,4108,4079,3,3597.1
2025-05-24,Cross-network,4107,3827,37,21000.020000000004
2025-10-16,Direct,4106,3707,18,12205.2
2025-08-08,Paid Other,4095,2830,0,0.0
2025-06-19,Paid Other,4093,3158,0,0.0
2025-01-07,Paid Search,4085,3411,42,25353.561117
2025-03-19,Organic Social,4083,4062,1,475.94
2025-11-04,Paid Other,4070,1941,1,873.0
2025-07-28,Paid Other,4058,3106,0,0.0
2025-03-09,Organic Social,4048,3988,4,2993.59
2025-11-11,Organic Social,4010,4016,4,1446.0
2025-03-30,Organic Social,4001,3964,5,2900.9500000000003
2025-08-06,Paid Other,3994,3035,0,0.0
2025-01-11,Organic Social,3992,3881,4,4432.1
2025-01-04,Affiliates,3972,3767,4,1628.756856
2025-08-01,Paid Other,3969,2839,0,0.0
2025-09-22,Direct,3956,3716,13,8744.900000000001
2025-06-23,Paid Other,3950,2887,2,988.4300000000001
2025-10-28,Paid Other,3948,2250,1,381.65
2025-02-28,Unassigned,3944,3814,20,9220.71
2025-09-15,Direct,3941,3733,15,8873.398042
2025-11-05,Paid Other,3930,1892,0,0.0
2025-01-08,Direct,3929,3084,19,12467.95
2025-11-15,Organic Search,3917,3560,45,25085.16836400001
2025-08-04,Paid Other,3903,3042,0,0.0
2025-08-03,Paid Other,3876,2823,1,482.62
2025-10-02,Cross-network,3867,3815,3,1413.3
2025-02-17,Unassigned,3850,3604,16,10783.670000000002
2025-05-25,Cross-network,3843,3562,41,26293.280000000006
2025-11-18,Cross-network,3840,3691,27,12451.35
2025-06-13,Paid Other,3833,3098,1,924.0
2025-06-22,Paid Other,3832,2840,2,464.05999999999995
2025-08-02,Paid Other,3830,2824,0,0.0
2025-08-09,Paid Other,3809,2635,0,0.0
2025-03-14,Unassigned,3802,3541,20,16084.79
2025-02-13,Unassigned,3801,3654,23,18382.840000000004
2025-07-30,Paid Other,3798,2785,1,378.0
2025-01-14,Paid Search,3785,3124,20,12508.705439000001
2025-06-28,Paid Other,3785,2776,3,1112.52
2025-08-10,Paid Other,3785,2729,1,96.45
2025-10-07,Paid Other,3783,2184,0,0.0
2025-03-04,Affiliates,3776,3716,2,1918.72
2025-09-21,Direct,3765,3553,16,16157.668985999999
2025-02-16,Unassigned,3728,3559,21,9418.279999999999
2025-03-12,Organic Social,3722,3634,4,2480.3
2025-09-28,Paid Other,3709,1794,0,0.0
2025-08-17,SMS,3691,2874,135,135424.2099999999
2025-03-07,Unassigned,3684,3528,24,15974.329999999998
2025-08-05,Paid Other,3684,2797,0,0.0
2025-10-05,Paid Other,3680,2222,0,0.0
2025-01-19,Direct,3674,3116,35,17208.970000000005
2025-11-10,Organic Search,3669,3390,20,13714.413462
2025-03-10,Organic Social,3665,3545,7,3964.06
2025-01-20,Paid Search,3658,3120,38,23113.140000000007
2025-10-04,Paid Other,3648,2244,0,0.0
2025-01-15,Direct,3638,3053,39,24239.52
2025-01-13,Direct,3636,2962,23,15263.449141999998
2025-01-06,Paid Shopping,3617,3355,6,5094.85
2025-11-06,Paid Other,3616,1918,1,168.0
2025-03-08,Organic Social,3591,3500,6,5450.389999999999
2025-07-01,Paid Other,3588,2630,1,441.56
2025-11-11,Organic Search,3588,3292,20,7300.749999999999
2025-01-01,Organic Social,3587,3357,24,13751.807783000002
2025-01-16,Direct,3585,2984,39,29961.029999999995
2025-02-21,Organic Shopping,3582,3442,6,1963.2
2025-01-16,Paid Search,3581,3007,26,13372.930000000002
2025-03-18,Organic Social,3579,3485,1,125.51
2025-08-30,Cross-network,3572,3458,10,3719.1000000000004
2025-01-09,Organic Social,3571,3423,4,2842.85
2025-10-07,Organic Search,3544,3270,18,10019.454962
2025-03-31,Organic Social,3523,3494,2,3583.39
2025-01-05,Organic Social,3522,3328,5,4875.67
2025-07-08,Paid Other,3522,2688,0,0.0
2025-01-17,Paid Search,3515,3002,31,29209.28
2025-08-26,Cross-network,3512,3469,10,6631.77
2025-01-10,Direct,3483,2838,22,15851.39
2025-10-28,Direct,3483,3207,20,11379.703823
2025-01-12,Paid Search,3475,2828,27,17084.645645
2025-01-18,Direct,3461,2914,22,10925.41
2025-10-17,Direct,3456,3074,12,8327.85
2025-01-08,Organic Social,3455,3257,6,4490.32
2025-08-29,Cross-network,3450,3296,20,11459.349999999999
2025-01-12,Direct,3437,2816,26,15579.279999999999
2025-07-31,Paid Other,3435,2507,0,0.0
2025-03-13,Organic Social,3432,3375,8,3465.5299999999997
2025-09-27,Paid Other,3409,1721,0,0.0
2025-01-17,Direct,3406,2911,39,26795.87
2025-02-19,Unassigned,3405,3189,21,15728.850000000002
2025-06-15,Paid Other,3403,2541,2,1246.6100000000001
2025-10-29,Paid Other,3400,1876,0,0.0
2025-02-15,Unassigned,3393,3235,24,12327.779999999999
2025-01-20,Direct,3392,2911,34,23262.890000000003
2025-07-06,Paid Other,3388,2588,1,762.14
2025-01-06,Organic Social,3387,3262,6,3295.0399999999995
2025-05-11,Organic Social,3385,3214,17,7131.909999999999
2025-09-17,Direct,3380,2988,17,18427.95
2025-07-05,Paid Other,3379,2470,3,1689.17
2025-09-30,Cross-network,3374,3261,5,2121.3500000000004
2025-10-03,Paid Other,3374,2090,0,0.0
2025-11-14,Organic Search,3372,3047,45,41028.291836
2025-05-05,Organic Social,3370,3227,8,4128.32
2025-01-04,Organic Social,3365,3196,3,2353.6000000000004
2025-09-14,Cross-network,3363,3281,4,2992.6
2025-11-15,Unassigned,3363,3087,56,31787.57555000001
2025-10-20,Direct,3330,3002,13,6537.513948
2025-05-04,Organic Social,3323,3262,37,16454.199999999997
2025-02-23,Affiliates,3311,3227,5,2156.6099999999997
2025-04-02,Unassigned,3305,3067,24,16146.09
2025-01-09,Direct,3298,2696,27,14852.655519
2025-01-08,Paid Search,3297,2744,25,13457.584731
2025-01-09,Paid Search,3294,2599,24,13868.050000000001
2025-08-28,Organic Social,3289,3212,12,7470.4
2025-03-20,Organic Social,3285,3208,6,3587.4200000000005
2025-09-05,Paid Other,3273,2171,1,79.95
2025-11-03,Direct,3261,2998,18,7025.2
2025-01-11,Direct,3257,2541,26,22016.948717
2025-11-03,Paid Other,3249,1694,1,613.0
2025-07-07,Paid Other,3243,2428,0,0.0
2025-11-12,Organic Search,3243,2883,15,7797.127809
2025-09-28,Cross-network,3222,3201,5,3630.0
2025-01-02,Organic Search,3221,2673,25,12810.726223
2025-01-10,Paid Search,3220,2527,18,17072.5
2025-06-04,Unassigned,3219,2705,101,43301.62999999999
2025-08-31,Cross-network,3214,3051,27,13228.749999999998
2025-03-11,Organic Social,3212,3139,1,73.83
2025-10-02,Paid Other,3211,2066,1,336.75
2025-11-09,Organic Search,3211,2974,20,13578.849999999999
2025-03-16,Organic Social,3210,3217,4,2971.04
2025-01-02,Cross-network,3208,2793,18,12031.6
2025-01-14,Direct,3207,2611,15,10307.949999999999
2025-06-14,Paid Other,3206,2403,3,1402.0
2025-10-21,Direct,3204,2921,20,9329.414400999998
2025-10-08,Organic Search,3197,3072,6,3844.75
2025-01-05,Cross-network,3195,2699,8,5834.85
2025-08-12,Paid Other,3192,2518,0,0.0
2025-02-20,Unassigned,3190,2980,21,12751.41
2025-03-17,Organic Social,3190,3138,4,3414.76
2025-10-04,Cross-network,3188,3111,6,3238.65
2025-01-04,Cross-network,3187,2740,10,7183.500000000001
2025-09-02,Organic Social,3179,3092,19,11295.55
2025-01-13,Paid Search,3178,2572,17,8461.839756
2025-01-15,Paid Search,3175,2652,16,7756.57
2025-03-11,Unassigned,3175,2971,16,10827.829999999998
2025-11-16,Cross-network,3169,2889,16,9876.8
2025-01-11,Paid Search,3167,2625,15,9766.35
2025-03-01,Unassigned,3164,2974,6,3120.05
2025-06-02,Unassigned,3162,2588,173,65095.01999999998
2025-10-19,Direct,3156,2868,16,5726.852174
2025-01-06,Organic Search,3150,2490,12,7289.0
2025-08-11,Paid Other,3146,2259,0,0.0
2025-02-14,Unassigned,3144,2981,17,16006.31
2025-08-14,Paid Other,3142,2510,0,0.0
2025-03-07,Organic Social,3115,3015,6,7471.209999999999
2025-03-18,Unassigned,3115,2902,21,13932.52
2025-06-29,Paid Other,3111,2307,0,0.0
2025-05-01,Unassigned,3105,2821,45,16073.010000000004
2025-03-06,Organic Social,3099,3104,3,3652.05
2025-11-13,Unassigned,3095,2778,68,38047.304923
2025-08-13,Paid Other,3093,2472,2,1129.19
2025-08-11,Unassigned,3091,2645,31,15592.500000000002
2025-01-07,Organic Social,3089,2914,8,3795.6400000000003
2025-09-03,Organic Social,3082,2965,11,7672.5
2025-02-22,Unassigned,3076,2866,15,9945.419999999998
2025-11-11,Paid Other,3074,1861,0,0.0
2025-07-29,Paid Other,3067,2313,1,345.44
2025-01-21,Unassigned,3059,2699,30,20302.559999999998
2025-09-19,Cross-network,3055,2968,3,1812.6
2025-10-27,Direct,3050,2744,18,10278.686521
2025-10-18,Direct,3042,2824,12,4676.36705
2025-08-28,Unassigned,3038,2756,90,56596.23873100003
2025-01-07,Organic Search,3036,2407,16,9912.898549
2025-05-18,Organic Social,3034,2886,12,5795.65
2025-09-03,Unassigned,3025,2855,61,26909.842433
2025-01-01,Organic Search,3013,2361,35,21401.42016800001
2025-01-03,Cross-network,3011,2527,12,7637.0
2025-11-13,Organic Search,3009,2690,18,11681.481408
2025-06-18,Paid Other,3004,2356,0,0.0
2025-11-01,Paid Other,2990,1605,1,740.0
2025-11-19,Organic Search,2990,2661,45,29411.38377
2025-02-23,Organic Social,2977,2904,3,1472.56
2025-11-07,Paid Other,2975,1639,0,0.0
2025-10-30,Paid Other,2969,1628,0,0.0
2025-10-22,Direct,2967,2699,12,4107.5
2025-06-16,Paid Other,2959,2272,1,66.38
2025-10-23,Direct,2947,2731,9,2905.988996
2025-10-24,Direct,2947,2694,19,10893.823074000002
2025-05-19,Organic Social,2944,2862,10,5191.389999999999
2025-02-21,Unassigned,2942,2736,18,11269.539999999999
2025-05-01,Affiliates,2936,2824,15,7384.9800000000005
2025-10-01,Paid Other,2936,2123,0,0.0
2025-10-29,Direct,2924,2678,19,14747.6
2025-04-17,Organic Social,2916,2809,5,2717.39
2025-06-02,SMS,2910,2153,120,43317.279999999984
2025-07-01,Unassigned,2898,2615,27,12656.000000000002
2025-11-01,Direct,2889,2664,13,11201.100000000002
2025-11-02,Direct,2889,2734,20,11113.3
2025-05-20,Organic Social,2881,2835,6,2225.04
2025-05-10,Organic Social,2879,2789,23,8213.49
2025-08-28,Cross-network,2873,2779,13,6993.099999999999
2025-04-01,Unassigned,2869,2668,13,8990.01
2025-01-01,Cross-network,2843,2356,30,20742.257783000005
2025-01-05,Organic Search,2843,2353,11,6146.4123070000005
2025-11-10,Paid Other,2835,1697,1,1088.85
2025-11-12,Unassigned,2825,2645,31,18903.776781
2025-01-03,Organic Search,2824,2270,14,6602.631969
2025-09-01,Organic Social,2818,2709,23,10254.349999999999
2025-06-03,Unassigned,2815,2366,92,37143.85
2025-02-24,Organic Social,2813,2809,5,4108.98
2025-09-29,Cross-network,2799,2723,9,15034.35
2025-10-26,Direct,2796,2575,13,14279.882040000002
2025-09-01,Unassigned,2793,2543,114,53539.91462100003
2025-05-26,Organic Social,2785,2645,29,15965.770000000004
2025-09-27,Cross-network,2782,2735,9,3287.3
2025-06-30,Paid Other,2779,2018,0,0.0
2025-05-09,Organic Social,2773,2700,14,7058.489999999999
2025-10-31,Paid Other,2757,1607,0,0.0
2025-02-25,Unassigned,2748,2539,22,11657.48
2025-10-30,Direct,2745,2520,21,12938.104136
2025-01-04,Organic Search,2739,2213,11,6339.7
2025-08-15,Paid Other,2739,2193,0,0.0
2025-09-08,Direct,2734,2550,22,18383.771026000002
2025-01-13,Organic Search,2732,2290,17,10703.217223
2025-01-14,Organic Search,2727,2295,10,4114.03732
2025-05-26,Unassigned,2727,2345,152,83900.33
2025-09-13,Cross-network,2725,2658,2,782.35
2025-03-10,Unassigned,2719,2559,18,5639.32
2025-03-12,Unassigned,2718,2500,21,10755.32
2025-02-08,Unassigned,2717,2557,21,9477.110000000002
2025-09-26,Paid Other,2714,1531,0,0.0
2025-08-17,Unassigned,2712,2353,133,120051.02999999996
2025-04-03,Unassigned,2705,2550,14,10365.34
2025-05-06,Organic Social,2698,2602,14,10758.27
2025-01-02,Paid Social,2677,2609,0,0.0
2025-01-15,Organic Search,2674,2234,12,10529.73
2025-08-31,Organic Social,2670,2547,11,9289.0
2025-11-02,Paid Other,2668,1453,2,1170.05
2025-01-08,Organic Search,2655,2109,6,2394.25
2025-08-30,Organic Social,2655,2558,13,7010.449999999999
2025-11-05,Organic Search,2648,2408,12,6239.383297
2025-08-29,Unassigned,2646,2392,78,38754.544553000014
2025-10-25,Direct,2644,2399,20,10239.630492999999
2025-03-14,Organic Social,2632,2583,3,2829.92
2025-01-19,Affiliates,2631,2564,3,1104.9199999999998
2025-09-25,Cross-network,2629,2559,3,869.6
2025-01-12,Organic Search,2628,2189,8,2043.3070969999999
2025-09-26,Cross-network,2628,2562,3,1613.0
