"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Day (previous_year)","Orders (previous_year)","Gross sales (previous_year)","Discounts (previous_year)","Returns (previous_year)","Net sales (previous_year)","Shipping charges (previous_year)","Duties (previous_year)","Additional fees (previous_year)","Taxes (previous_year)","Total sales (previous_year)"
"2025-06-26",76,28764.67,-1729.08,-11062.59,15973,27,0,0,1127.82,17127.82,"2024-06-25",75,45474.56,-3581.82,-17345.68,24547.06,9,0,0,1771.96,26328.02
"2025-06-27",126,52821.52,-3267.36,-3923.95,45630.21,54,0,0,3544.24,49228.45,"2024-06-26",71,32769.39,-1757.24,-390.3,30621.85,48,0,0,2076,32745.85
"2025-06-28",85,42625.96,-2784.85,0,39841.11,45,0,0,2968.44,42854.55,"2024-06-27",120,41671.24,-3043.06,-12219.1,26409.08,45,0,0,1599.78,28053.86
"2025-06-29",79,40794.53,-1968.08,0,38826.45,18,0,0,2875.17,41719.62,"2024-06-28",92,38159.69,-4316.32,-1327.28,32516.09,27,0,0,2581.61,35124.7
"2025-06-30",103,42438.72,-3193.5,-19144.97,20100.25,36,0,0,1776.03,21912.28,"2024-06-29",77,39241.51,-2551.4,-11587.8,25102.31,137,0,0,1741.64,26980.95
"2025-07-01",113,41278.31,-2936.8,-908.24,37433.27,36,0,0,2842.26,40311.53,"2024-06-30",92,49673.85,-3123.81,-1260.55,45289.49,27,0,0,3495.69,48812.18
"2025-07-02",90,43486.04,-2502.42,-4174.36,36809.26,36,0,0,2573.13,39418.39,"2024-07-01",111,55391.67,-3574.41,-28.33,51788.93,19.55,0,0,3790.76,55599.24
"2025-07-03",91,45560.13,-3229.54,-4890.09,37440.5,45,0,0,2930.93,40416.43,"2024-07-02",98,34569.61,-2016.18,-15661.15,16892.28,0,0,0,1165.02,18057.3
"2025-07-04",101,48779.26,-4015.93,-440.94,44322.39,36,0,0,3139.68,47498.07,"2024-07-03",85,40948.73,-3276.71,-868.67,36803.35,9,0,0,2622.92,39435.27
"2025-07-05",79,40747.1,-3174.59,0,37572.51,18,0,0,2598.65,40189.16,"2024-07-04",82,51944.63,-3135.86,0,48808.77,36,0,0,3482.29,52327.06
"2025-07-06",84,56877.6,-3370.66,0,53506.94,1008,0,0,3921.12,58436.06,"2024-07-05",106,45001.9,-3753.5,-2318.37,38930.03,36,0,0,2869.63,41835.66
"2025-07-07",146,59721.69,-20303.63,-2014.91,37403.15,54,0,0,2620.81,40077.96,"2024-07-06",79,49359.34,-3042.13,-5919.56,40397.65,28.68,0,0,3177.69,43604.02
"2025-07-08",100,50982.67,-6337.65,-2431.51,42213.51,0,0,0,3280.12,45493.63,"2024-07-07",104,58800.7,-3670.95,-5757.7,49372.05,0,0,0,3691.98,53064.03
"2025-07-09",132,39787.56,-3275.85,-2013.75,34497.96,27,0,0,2727.01,37251.97,"2024-07-08",145,87081.41,-8436.45,-8948.19,69696.77,1008,0,0,5186.18,75890.95
"2025-07-10",96,51065.36,-5049.04,-13409.31,32607.01,27,0,0,2430.87,35064.88,"2024-07-09",94,45950,-4230.26,-11073.39,30646.35,9,0,0,2457.13,33112.48
"2025-07-11",164,44099.72,-10551.62,-8561.94,24986.16,45,0,0,1874.81,26905.97,"2024-07-10",90,38214.91,-3569.16,-1897.42,32748.33,9,0,0,2086.57,34843.9
"2025-07-12",89,41989.99,-4391.08,-786,36812.91,9,0,0,2720.88,39542.79,"2024-07-11",117,47884.14,-2618.18,-20301.86,24964.1,0,0,0,1903.11,26867.21
"2025-07-13",66,28840.7,-2247.33,0,26593.37,45,0,0,1833.24,28471.61,"2024-07-12",141,52312.78,-5273.19,-6701.8,40337.79,98,0,0,2712.03,43147.82
"2025-07-14",92,38969.31,-5079.82,-1471.58,32417.91,27,0,0,2518.78,34963.69,"2024-07-13",63,28063.76,-2448.73,-11318.7,14296.33,0,0,0,858.23,15154.56
"2025-07-15",98,40213.11,-3745.02,-3903.64,32564.45,54,0,0,2486.91,35105.36,"2024-07-14",90,58530.7,-3398.5,-3481.41,51650.79,858,0,0,4269.26,56778.05
"2025-07-16",96,52112.71,-4730.75,-12065.39,35316.57,36,0,0,2714.51,38067.08,"2024-07-15",116,53995.86,-4823.6,-2427.14,46745.12,18,0,0,3338.49,50101.61
"2025-07-17",89,39779.69,-2261.2,-11488.4,26030.09,27,0,0,1974.07,28031.16,"2024-07-16",91,47671.23,-4416.24,-9139.72,34115.27,18,0,0,2579.14,36712.41
"2025-07-18",98,56036.27,-5571.46,-9759.29,40705.52,9,0,0,2885.38,43599.9,"2024-07-17",91,49865.71,-4816.65,-4134.45,40914.61,9,0,0,3188.44,44112.05
"2025-07-19",79,36527.78,-2561.74,-1344,32622.04,18,0,0,2511.58,35151.62,"2024-07-18",116,51534.55,-4438.3,-262.45,46833.8,129,0,0,3670.74,50633.54
"2025-07-20",96,54923.77,-4174.13,-1428.97,49320.67,45,0,0,3676.95,53042.62,"2024-07-19",82,39717.38,-3737.86,-8182.02,27797.5,9,0,0,1793.3,29599.8
"2025-07-21",120,47583.17,-2314.7,-6300.3,38968.17,91,0,0,3246.57,42305.74,"2024-07-20",59,23619.72,-1655.3,0,21964.42,18,0,0,1636.87,23619.29
"2025-07-22",106,49082.55,-3310.49,-1535.91,44236.15,1008,0,0,3615.18,48859.33,"2024-07-21",60,38039.66,-3279.44,-2800.08,31960.14,0,0,0,2196.51,34156.65
"2025-07-23",99,39845.36,-3886.43,-794.43,35164.5,45,0,0,2643.57,37853.07,"2024-07-22",110,53094.45,-3173.78,-14595.37,35325.3,82,0,0,2632.03,38039.33
"2025-07-24",104,52257.39,-3395.44,-4276.74,44585.21,18,0,0,3398.88,48002.09,"2024-07-23",113,45039.23,-3622.49,-4219.56,37197.18,45,0,0,2692.33,39934.51
"2025-07-25",119,50619.78,-2970.47,-12176.49,35472.82,36,0,0,2413.3,37922.12,"2024-07-24",83,42641.81,-2874.79,-1837.71,37929.31,0,0,0,2405.6,40334.91
"2025-07-26",88,42799.75,-3252.57,0,39547.18,81,0,0,3056.19,42684.37,"2024-07-25",109,30872.98,-1944.54,-10555.15,18373.29,177,0,0,1094.25,19644.54
"2025-07-27",89,36453.25,-2028.15,-346.88,34078.22,72,0,0,2475.33,36625.55,"2024-07-26",55,28862.94,-2801.19,0,26061.75,54,0,0,1538.92,27654.67
"2025-07-28",97,42472.75,-3908.73,-6551.25,32012.77,0,0,0,2267.98,34280.75,"2024-07-27",74,40472.09,-3218.56,-1637.47,35616.06,51,0,0,2280.34,37947.4
"2025-07-29",102,45454.05,-3668.54,-18909.2,22876.31,-972,0,0,1808.11,23712.42,"2024-07-28",55,34949.7,-3115.46,-349,31485.24,18,0,0,2095.62,33598.86
"2025-07-30",114,40798.75,-3255.05,-1128.93,36414.77,45,0,0,2811.66,39271.43,"2024-07-29",72,41055.29,-2795.06,-1666.13,36594.1,9,0,0,2370.61,38973.71
"2025-07-31",106,48964.31,-3078.05,0,45886.26,18,0,0,3162.18,49066.44,"2024-07-30",97,43581.71,-2901.86,-4511.72,36168.13,27,0,0,3018.68,39213.81
"2025-08-01",90,36850.35,-3014.7,-2058,31777.65,36,0,0,2378.93,34192.58,"2024-07-31",55,33031.45,-1609.7,-415.3,31006.45,36,0,0,2289.52,33331.97
"2025-08-02",69,31847.65,-1596.65,0,30251,47.06,0,0,2219.16,32517.22,"2024-08-01",72,36424.58,-2555.1,-18394.9,15474.58,27,0,0,967.38,16468.96
"2025-08-03",94,42993.89,-3503.19,-329.1,39161.6,36,0,0,3073.17,42270.77,"2024-08-02",86,52774.44,-5171.72,-1408.95,46193.77,18,0,0,3211.39,49423.16
"2025-08-04",64,28851.23,-2000.57,-3715.22,23135.44,75,0,0,1593.17,24803.61,"2024-08-03",45,27174.2,-2116.7,-6055.3,19002.2,18,0,0,1226.11,20246.31
,0,0,0,0,0,0,0,0,0,0,"2024-08-04",53,25645.23,-1667.43,0,23977.8,36,0,0,1861.88,25875.68
