Day,"Delivery status","Delivery level","Ad Set Name","Ad name",Impressions,"CPM (cost per 1,000 impressions)",Reach,"Cost per 1,000 Accounts Center accounts reached",Frequency,"CTR (all)","Unique outbound clicks","Unique outbound CTR (click-through rate)","Cost per unique outbound click","Landing page views","Cost per landing page view","Content views","Cost per content view","Adds to cart","Cost per add to cart","Checkouts Initiated","Cost per checkout initiated","Adds of payment info","Cost per add of payment info",Purchases,"Cost per purchase","Purchases conversion value","Average purchases conversion value","Purchase ROAS (return on ad spend)","Amount spent (USD)","Link (ad settings)","Attribution setting","Campaign ID","Ad set ID","Ad ID","Result type",Results,"Cost per result","Link clicks","CPC (cost per link click)","Campaign Delivery","Ad Set Delivery","Ad Delivery","Reporting starts","Reporting ends"
2025-07-28,,,,,17655,53.90937411,13770,69.11909949,1.28213508,1.7162277,166,1.20551924,5.73355422,156,6.10108974,275,3.46098182,10,95.177,2,475.885,2,475.885,2,475.885,490.72,245.36,0.51558675,951.77,,"Multiple attribution settings",,,,,,,178,5.34702247,,,,2025-07-28,2025-07-28
2025-07-27,,,,,78701,49.54219133,48919,79.70359165,1.60880231,1.86655824,841,1.71916842,4.63617122,860,4.53374419,1499,2.60108072,110,35.44563636,11,354.45636364,4,974.755,21,185.66761905,12411.2,591.00952381,3.18315885,3899.02,,"Multiple attribution settings",,,,,,,916,4.25657205,,,,2025-07-27,2025-07-27
2025-07-26,,,,,69909,47.03028222,43902,74.89043779,1.59238759,1.88673847,721,1.6422942,4.56011096,731,4.49772914,1260,2.60939683,87,37.79126437,17,193.40235294,5,657.568,21,156.56380952,14494.5,690.21428571,4.40851745,3287.84,,"Multiple attribution settings",,,,,,,790,4.16182278,,,,2025-07-26,2025-07-26
2025-07-25,,,,,72800,47.85741758,43829,79.49120445,1.66100071,2.07692308,776,1.77051724,4.48971649,780,4.46669231,1433,2.43127704,125,27.87216,24,145.1675,16,217.75125,25,139.3608,12714.39,508.5756,3.64934472,3484.02,,"Multiple attribution settings",,,,,,,832,4.18752404,,,,2025-07-25,2025-07-25
2025-07-24,,,,,75458,44.87675263,46608,72.65512358,1.61899245,1.82220573,726,1.5576725,4.66433884,703,4.81694168,1147,2.95231909,79,42.86468354,17,199.19470588,13,260.48538462,23,147.23086957,10329.78,449.12086957,3.05045315,3386.31,,"Multiple attribution settings",,,,,,,783,4.32478927,,,,2025-07-24,2025-07-24
2025-07-23,,,,,69879,44.61569284,40059,77.82770414,1.74440201,1.94335924,686,1.7124741,4.54475219,692,4.50534682,1112,2.80368705,84,37.11547619,7,445.38571429,5,623.54,17,183.39411765,7938.2,466.95294118,2.54617186,3117.7,,"Multiple attribution settings",,,,,,,753,4.14037185,,,,2025-07-23,2025-07-23
2025-07-22,,,,,65192,49.02733464,37907,84.31661698,1.7197879,2.11529022,724,1.90993748,4.41462707,645,4.95533333,1124,2.84358541,81,39.4591358,22,145.28136364,15,213.07933333,16,199.761875,18448.82,1153.05125,5.77212869,3196.19,,"Multiple attribution settings",,,,,,,776,4.11880155,,,,2025-07-22,2025-07-22
2025-07-21,,,,,68280,47.83582308,41373,78.94593092,1.65035168,1.98154657,728,1.75960167,4.48657967,737,4.43179104,1118,2.92149374,63,51.84492063,11,296.93,5,653.246,17,192.13117647,6761.91,397.75941176,2.07024919,3266.23,,"Multiple attribution settings",,,,,,,793,4.11882724,,,,2025-07-21,2025-07-21
2025-07-20,,,,,67122,49.24495694,41441,79.76207138,1.6197003,2.17663359,760,1.83393258,4.34923684,761,4.34352168,1202,2.74993344,83,39.82433735,15,220.36133333,10,330.542,19,173.96947368,10871.95,572.20789474,3.28912816,3305.42,,"Multiple attribution settings",,,,,,,818,4.04085575,,,,2025-07-20,2025-07-20
2025-07-19,,,,,43787,56.50421358,25383,97.47271796,1.7250522,2.60579624,583,2.29681283,4.24382504,586,4.22209898,1031,2.39975752,102,24.25637255,20,123.7075,9,274.90555556,21,117.81666667,9519.63,453.31571429,3.84763656,2474.15,,"Multiple attribution settings",,,,,,,641,3.85982839,,,,2025-07-19,2025-07-19
